Index,Quantity,Digikey Part Number,Manufacturer Part Number,Description,Unit Price (US),Total Price (US),Link
1,1,1528-1531-ND,2772,ADAFRUIT FEATHER M0 BASIC PROTO,19.95,,https://www.digikey.com/product-detail/en/adafruit-industries-llc/2772/1528-1531-ND 
2,1,1568-1213-ND,COM-12986,ADDRESS LED DISC SER RGB 5MM 5PC,2.95,,https://www.digikey.com/products/en?keywords=COM-12986
3,1,1528-1560-ND,2886,FEATHER HEADER KIT FML,0.95,,https://www.digikey.com/product-detail/en/adafruit-industries-llc/2886/1528-1560-ND/ 
4,1,CF14JT470RCT-ND,CF14JT470R,RES 470 OHM 1/4W 5% AXIAL ,0.1,,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT470R/CF14JT470RCT-ND/1830342
5,4,CP1-3535NG-ND,"	SJ1-3535NG",CONN JACK STEREO 3.5MM R/A,1.25,,https://www.digikey.com/product-detail/en/cui-inc/SJ1-3535NG/CP1-3535NG-ND 
,,,,,Subtotal,28.95,
,,Alternative ,,,,,
Index,Quantity,Digikey Part Number,Manufacturer Part Number,Description,Unit Price (US),Total Price (US),Link
1,1,1528-1514-ND,2771,FEATHER 32U4 BASIC PROTO,19.95,,https://www.digikey.com/product-detail/en/adafruit-industries-llc/2771/1528-1514-ND/
2,1,1568-1213-ND,COM-12986,ADDRESS LED DISC SER RGB 5MM 5PC,2.95,,https://www.digikey.com/products/en?keywords=COM-12986
3,1,1528-1560-ND,2886,FEATHER HEADER KIT FML,0.95,,https://www.digikey.com/product-detail/en/adafruit-industries-llc/2886/1528-1560-ND/ 
4,1,CF14JT470RCT-ND,CF14JT470R,RES 470 OHM 1/4W 5% AXIAL ,0.1,,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT470R/CF14JT470RCT-ND/1830342
5,4,CP1-3535NG-ND,"	SJ1-3535NG",CONN JACK STEREO 3.5MM R/A,1.25,,https://www.digikey.com/product-detail/en/cui-inc/SJ1-3535NG/CP1-3535NG-ND 
,,,,,Subtotal,28.95,
